Year,Month,Date Event Begin,Time Event Begin,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2020,January,01/30/2020,03:01,01/30/2020,04:36,North Dakota: Burleigh County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,75,0
2020,January,01/31/2020,09:50,02/03/2020,10:00,California:,WECC,Cyber event that could potentially impact electric power system adequacy or reliability.,Suspicious Activity,0,0
2020,February,02/06/2020,14:29,02/07/2020,12:44,North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,284256
2020,February,02/06/2020,13:30,02/07/2020,20:08,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,Unknown,89500
2020,February,02/07/2020,16:25,02/08/2020,12:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,123359
2020,February,02/07/2020,14:42,02/10/2020,09:25,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,7500
2020,February,02/07/2020,11:00,Unknown,Unknown,Pennsylvania:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,52000
2020,February,02/07/2020,08:48,Unknown,Unknown,Virginia: North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,87000
2020,February,02/08/2020,13:56,02/08/2020,15:04,California:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,February,02/09/2020,09:30,02/09/2020,21:40,"California: Alameda County, Contra Costa County, El Dorado County, Nevada County, Placer County, Sierra County, Santa Clara County, Napa County, Marin County, Santa Cruz County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,500,145000
2020,February,02/11/2020,02:53,02/11/2020,13:30,Texas: Sterling County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability.,System Operations,0,0
2020,February,02/11/2020,07:13,02/11/2020,16:00,Oregon: Clackamas County;,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,Unknown,0
2020,February,02/12/2020,07:36,02/12/2020,08:53,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,February,02/13/2020,08:01,02/13/2020,14:38,Oregon:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,February,02/17/2020,09:47,02/17/2020,15:31,Alabama: Chambers County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,97,Unknown
2020,February,02/17/2020,13:18,02/20/2020,09:51,Michigan: Eaton County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
2020,February,02/17/2020,04:00,Unknown,Unknown,Northern and Central California;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,91,70000
2020,February,02/18/2020,13:00,02/18/2020,14:00,California: Kern County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
2020,February,02/25/2020,11:45,02/25/2020,13:00,California: Los Angeles County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,February,02/26/2020,16:30,02/26/2020,17:02,Oklahoma:,SPP RE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,February,02/26/2020,17:00,02/26/2020,18:05,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,February,02/26/2020,11:29,02/26/2020,12:14,South Dakota: Wyoming: Colorado:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,February,02/29/2020,01:45,02/29/2020,02:30,"Nevada: Clark County, Washoe County;",WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,March,03/01/2020,11:27,03/01/2020,21:47,Mississippi: Rankin County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,19,3136
2020,March,03/01/2020,22:15,Unknown,Unknown,New York:,NPCC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,March,03/01/2020,08:00,Unknown,Unknown,Western NY,NPCC,Fuel supply emergencies that could impact electric power system adequacy or reliability.,Fuel Supply Deficiency,675,Unknown
2020,March,03/02/2020,01:43,03/02/2020,02:43,"Nevada: Clark County, Washoe County;",WECC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,March,03/03/2020,14:30,03/03/2020,14:31,Alabama:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,March,03/08/2020,22:10,03/09/2020,01:02,Texas: Llano County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,March,03/12/2020,01:03,03/12/2020,03:00,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,40,15864
2020,March,03/16/2020,12:01,03/16/2020,13:10,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,165,110800
2020,March,03/16/2020,08:00,03/16/2020,08:01,California: Los Angeles County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
2020,March,03/16/2020,08:00,03/16/2020,08:01,California: Los Angeles County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
2020,March,03/17/2020,10:30,03/17/2020,11:41,Michigan: Washtenaw County;,RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,6062,0
2020,March,03/18/2020,07:09,Unknown,Unknown,Utah:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Natural Disaster,237,73000
2020,March,03/19/2020,17:05,03/19/2020,17:43,Minnesota: St. Louis County;,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,March,03/20/2020,22:20,03/20/2020,23:30,Connecticut: Massachusetts: Rhode Island: Maine: New Hampshire: Vermont:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,March,03/20/2020,23:38,03/20/2020,23:59,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,March,03/20/2020,23:45,03/21/2020,00:30,Connecticut: Massachusetts:,NPCC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2020,March,03/23/2020,00:15,03/25/2020,17:11,Wisconsin: Columbia County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,March,03/23/2020,14:15,03/23/2020,16:37,Virginia:,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Sabotage,Unknown,1018
2020,March,03/24/2020,12:45,03/24/2020,14:00,California: Nevada County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,March,03/24/2020,02:55,03/24/2020,06:50,Connecticut: Massachusetts: Maine: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,51026
2020,March,03/25/2020,10:31,Unknown,Unknown,Nevada: Clark County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,March,03/26/2020,21:29,03/26/2020,21:47,Ohio:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,19,11964
2020,March,03/27/2020,13:06,03/27/2020,13:58,"Delaware: Kent County, New Castle County, Sussex County; Maryland: Cecil County, Harford County, Talbot County, Kent County, Queen Anne&#39;s County, Dorchester County, Wicomico County, Worcester County, Somerset County;",RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,March,03/27/2020,13:06,03/27/2020,13:58,"New Jersey: Atlantic County, Cape May County, Cumberland County, Gloucester County, Salem County;",RF,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,March,03/29/2020,20:27,03/29/2020,23:04,Mississippi: Panola County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,4,1558
2020,March,03/31/2020,11:45,03/31/2020,20:00,Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,412,57744
2020,April,04/01/2020,21:43,04/01/2020,22:18,Illinois: Williamson County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,April,04/02/2020,18:41,04/02/2020,19:23,Texas: Travis County;,TRE,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,April,04/02/2020,13:37,04/02/2020,14:43,Nebraska: York County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,5,Unknown
2020,April,04/02/2020,20:45,Unknown,Unknown,Washington: Wallula,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,Unknown,Unknown
2020,April,04/03/2020,09:13,Unknown,Unknown,Nevada: Clark County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,April,04/05/2020,02:30,04/05/2020,03:01,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,April,04/05/2020,15:46,04/05/2020,17:35,California: Stanislaus County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,7,6814
2020,April,04/07/2020,23:39,04/07/2020,23:46,Washington:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2020,April,04/08/2020,21:57,04/09/2020,08:59,Ohio: Kentucky:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,78314
2020,April,04/08/2020,22:03,04/09/2020,07:36,Indiana:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,93000
2020,April,04/08/2020,01:21,04/08/2020,03:56,Ohio:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,82509
2020,April,04/09/2020,19:25,04/10/2020,03:30,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,95000
2020,April,04/09/2020,19:40,04/11/2020,22:00,Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,340000
2020,April,04/09/2020,07:34,04/09/2020,17:40,Wisconsin: Dane County;,RF,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2020,April,04/10/2020,10:00,04/10/2020,16:19,Maine:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,April,04/10/2020,16:00,Unknown,Unknown,Nevada: White Pine County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,April,04/11/2020,11:24,04/11/2020,11:42,Wyoming:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2020,April,04/11/2020,17:40,04/11/2020,17:51,Utah: Salt Lake City,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Suspicious Activity,Unknown,Unknown
2020,April,04/12/2020,20:45,Unknown,Unknown,Arkansas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,95318
2020,April,04/12/2020,13:00,04/12/2020,19:27,"Louisiana: Acadia Parish, Iberville Parish, Jefferson Davis Parish, Concordia Parish, Winn Parish, Catahoula Parish, Terrebonne Parish, St. Mary Parish;",SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,Severe Weather,122,37991
2020,April,04/12/2020,20:30,04/14/2020,09:00,Arkansas:,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,51000
2020,April,04/12/2020,21:28,04/15/2020,12:00,Virginia: West Virginia:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,104000
2020,April,04/12/2020,17:00,04/14/2020,01:25,Mississippi: Alabama: Georgia:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,448,62828
2020,April,04/12/2020,18:13,04/13/2020,15:23,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,63289
2020,April,04/13/2020,03:30,04/14/2020,18:18,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,216400
2020,April,04/13/2020,00:45,04/13/2020,03:00,Tennessee: Hamilton County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,120000
2020,April,04/13/2020,08:08,Unknown,Unknown,South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,72233
2020,April,04/13/2020,10:25,04/13/2020,18:55,North Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,95000
2020,April,04/13/2020,13:05,04/14/2020,16:00,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,68476
2020,April,04/13/2020,07:31,04/13/2020,14:00,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,Unknown
2020,April,04/16/2020,11:30,04/16/2020,15:45,Georgia:,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,April,04/18/2020,19:38,Unknown,Unknown,Nevada: Washoe County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,April,04/19/2020,01:14,04/20/2020,11:42,North Dakota: Burleigh County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,April,04/20/2020,12:42,04/20/2020,13:27,South Dakota: Deuel County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,April,04/20/2020,00:59,04/20/2020,08:40,Alabama: Mississippi: Georgia: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,552,77341
2020,April,04/23/2020,04:30,04/23/2020,07:00,Mississippi: Arkansas: Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,55184
2020,April,04/23/2020,08:00,04/23/2020,23:40,Alabama: Georgia: Mississippi: Florida:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,375,52163
2020,April,04/24/2020,22:00,Unknown,Unknown,Nevada: White Pine County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,April,04/24/2020,21:00,04/24/2020,21:33,"California: Placer County, Nevada County;",WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,5,945
2020,April,04/25/2020,21:25,04/25/2020,21:56,Oregon: Multnomah County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,April,04/26/2020,01:38,Unknown,Unknown,Florida:,FRCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,49999
2020,April,04/28/2020,20:01,04/28/2020,23:21,Texas: Jefferson County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,14,1
2020,April,04/29/2020,06:00,04/29/2020,12:31,Louisiana:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,77933
2020,April,04/29/2020,05:55,04/29/2020,19:00,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,146660
2020,April,04/30/2020,15:00,Unknown,Unknown,"Pennsylvania: Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County, York County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,78007
2020,May,05/04/2020,11:59,05/07/2020,20:00,Tennessee: Davidson County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,500,130000
2020,May,05/08/2020,13:45,05/08/2020,13:46,Nevada: Nye County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,May,05/13/2020,23:16,05/14/2020,13:52,Indiana: Hendricks County;,RF,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2020,May,05/13/2020,05:12,05/13/2020,14:07,Washington:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2020,May,05/14/2020,11:23,05/14/2020,11:25,Oregon: Jackson County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0
2020,May,05/15/2020,17:55,05/17/2020,18:00,New York: Saratoga County;,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,52
2020,May,05/16/2020,00:00,05/16/2020,00:30,Texas: Cameron County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,May,05/18/2020,23:51,05/19/2020,04:37,South Carolina:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,May,05/18/2020,09:27,05/18/2020,10:15,Oregon: Clackamas County;,WECC,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2020,May,05/19/2020,20:04,05/19/2020,22:00,Alabama: Jefferson County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,8,6000
2020,May,05/19/2020,08:17,05/19/2020,08:18,Idaho: Bonneville County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,May,05/19/2020,13:45,05/19/2020,13:46,Arkansas:,SPP RE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2020,May,05/20/2020,11:41,Unknown,Unknown,Nevada: Clark County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,May,05/22/2020,16:35,05/23/2020,15:29,North Carolina: South Carolina:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,108190
2020,May,05/24/2020,16:45,Unknown,Unknown,Central Oklahoma,SPP RE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,54000
2020,May,05/25/2020,10:58,05/25/2020,13:00,Texas: Kerr County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,8,3745
2020,May,05/27/2020,17:15,05/29/2020,06:30,Texas: Harris County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,382000
2020,May,05/27/2020,17:20,Unknown,Unknown,Texas:,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,273269
2020,May,05/29/2020,17:01,05/29/2020,18:57,Pennsylvania: Warren County;,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2020,May,05/29/2020,17:30,05/31/2020,18:00,Minnesota: Hennepin County;,MRO,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",System Operations,0,0
2020,May,05/29/2020,21:37,05/30/2020,04:29,Ohio: Franklin County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,May,05/30/2020,22:20,05/30/2020,23:00,Texas: Bexar County;,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2020,May,05/31/2020,21:30,06/01/2020,01:00,Alabama: Jefferson County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2020,May,05/31/2020,00:15,Unknown,Unknown,Pennsylvania:,RF,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Vandalism,0,0
2020,June,06/02/2020,14:36,06/02/2020,14:37,"Idaho: Blaine County, Jerome County, Minidoka County, Power County;",WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,Unknown,0
2020,June,06/03/2020,13:00,06/06/2020,16:30,New Jersey:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,80,87000
2020,June,06/03/2020,12:30,06/03/2020,18:00,"Pennsylvania: Bucks County, Chester County, Delaware County, Montgomery County, Philadelphia County, York County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,708000
2020,June,06/03/2020,16:57,06/03/2020,17:29,North Dakota: Minnesota:,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2020,June,06/03/2020,13:36,06/03/2020,16:30,New Jersey:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,78079
2020,June,06/09/2020,11:21,06/09/2020,12:01,Washington:,WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
